,me_company,prc,prc_local,dolvol,ret,ret_lag_dif,enterprise_value,book_equity,assets,sales,net_income,bidask,prc_high,prc_low,tvol,chcsho_1m,chcsho_3m,chcsho_6m,chcsho_12m,eqnpo_1m,eqnpo_3m,eqnpo_6m,eqnpo_12m,ret_1_0,ret_2_0,ret_3_0,ret_3_1,ret_6_0,ret_6_1,ret_9_0,ret_9_1,ret_12_0,ret_12_1,ret_12_7,ret_18_1,seas_1_1an,seas_1_1na,at_gr1,ca_gr1,nca_gr1,lt_gr1,cl_gr1,ncl_gr1,be_gr1,debt_gr1,sale_gr1,cogs_gr1,sga_gr1,opex_gr1,capx_gr1,at_gr3,lt_gr3,be_gr3,sale_gr3,cogs_gr3,opex_gr3,cash_gr1a,inv_gr1a,rec_gr1a,ppeg_gr1a,lti_gr1a,sti_gr1a,intan_gr1a,debtst_gr1a,ap_gr1a,txp_gr1a,debtlt_gr1a,txditc_gr1a,coa_gr1a,col_gr1a,cowc_gr1a,ncoa_gr1a,ncol_gr1a,nncoa_gr1a,oa_gr1a,ol_gr1a,fna_gr1a,fnl_gr1a,nfna_gr1a,gp_gr1a,ebitda_gr1a,ebit_gr1a,ope_gr1a,ni_gr1a,nix_gr1a,dp_gr1a,fincf_gr1a,ocf_gr1a,fcf_gr1a,nwc_gr1a,eqnetis_gr1a,dltnetis_gr1a,dstnetis_gr1a,dbnetis_gr1a,netis_gr1a,eqnpo_gr1a,tax_gr1a,eqbb_gr1a,eqis_gr1a,div_gr1a,eqpo_gr1a,capx_gr1a,be_gr1a,cash_gr3a,inv_gr3a,rec_gr3a,lti_gr3a,debtst_gr3a,ap_gr3a,debtlt_gr3a,fna_gr3a,fnl_gr3a,nfna_gr3a,gp_gr3a,ebitda_gr3a,ebit_gr3a,ni_gr3a,nix_gr3a,dp_gr3a,fincf_gr3a,ocf_gr3a,fcf_gr3a,eqnetis_gr3a,dltnetis_gr3a,dstnetis_gr3a,dbnetis_gr3a,netis_gr3a,eqnpo_gr3a,tax_gr3a,eqis_gr3a,div_gr3a,capx_gr3a,capx_at,spi_at,xido_at,nri_at,gp_sale,ebitda_sale,ebit_sale,pi_sale,ni_sale,nix_sale,ocf_sale,fcf_sale,gp_at,ebitda_at,ebit_at,fi_at,cop_at,ni_at,ope_be,ni_be,nix_be,ocf_be,fcf_be,gp_bev,ebitda_bev,ebit_bev,fi_bev,cop_bev,gp_ppen,ebitda_ppen,fcf_ppen,fincf_at,netis_at,eqnetis_at,eqis_at,dbnetis_at,dltnetis_at,dstnetis_at,eqnpo_at,eqbb_at,div_at,oaccruals_at,oaccruals_ni,taccruals_at,taccruals_ni,noa_at,be_bev,debt_bev,cash_bev,pstk_bev,debtlt_bev,debtst_bev,int_debt,ebitda_debt,profit_cl,ocf_cl,ocf_debt,cash_lt,inv_act,rec_act,debtst_debt,cl_lt,debtlt_debt,lt_ppen,debtlt_be,opex_at,nwc_at,debt_at,debt_be,ebit_int,inv_days,rec_days,ap_days,cash_cl,caliq_cl,ca_cl,at_turnover,rec_turnover,ap_turnover,sale_bev,sale_be,div_ni,sale_nwc,tax_pi,cash_at,ni_emp,sale_emp,sale_emp_gr1,emp_gr1,ni_inc8q,noa_gr1a,ppeinv_gr1a,lnoa_gr1a,capx_gr2,saleq_gr1,niq_be,niq_at,niq_be_chg1,niq_at_chg1,dsale_drec,dgp_dsale,saleq_su,niq_su,op_atl1,gp_atl1,ope_bel1,cop_atl1,pi_nix,ocf_at,op_at,ocf_at_chg1,at_be,ocfq_saleq_std,niq_saleq_std,tangibility,aliq_at,f_score,o_score,z_score,kz_index,at_me,be_me,debt_me,netdebt_me,cash_me,sale_me,gp_me,ebitda_me,ebit_me,ope_me,ni_me,nix_me,cop_me,ocf_me,fcf_me,div_me,eqbb_me,eqis_me,eqpo_me,eqnpo_me,eqnetis_me,at_mev,bev_mev,ppen_mev,be_mev,cash_mev,sale_mev,gp_mev,ebitda_mev,ebit_mev,cop_mev,ocf_mev,fcf_mev,debt_mev,pstk_mev,debtlt_mev,debtst_mev,dltnetis_mev,dstnetis_mev,dbnetis_mev,netis_mev,fincf_mev,aliq_mat,eq_dur,mispricing_mgmt,mispricing_perf,beta_21d,beta_dimson_21d,bidaskhl_21d,coskew_21d,iskew_capm_21d,ivol_capm_21d,rmax1_21d,rmax5_21d,rskew_21d,rvol_21d,rvolhl_21d,zero_trades_21d,ami_126d,dolvol_126d,dolvol_var_126d,turnover_126d,turnover_var_126d,zero_trades_126d,zero_trades_252d,age,qmj_prof,qmj_safety
2015-05-31,0,0,0,0,2,0,0,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,0,0,1,2,4,14,4,5,0,7,1,4,1,0,0,0,0,1,1,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,1,0,1,0,2,1,0,1,4,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,4,0,0,1,6,0,0,1,0,0,0,0,0,0,0,2,0,0,4,2,4,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,1,0,0,9,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,2,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,2,1,0,0,0,0,1,1,4,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,1,6,5,1,1,3,1,0,0,0,1,0,1,1,0,0,1
2015-06-30,0,5,3,3,0,0,18,7,11,3,0,0,0,1,6,1,1,3,0,2,5,0,1,2,4,16,4,2,3,3,4,8,9,2,4,1,3,4,0,1,2,0,9,2,0,3,2,1,2,5,1,1,1,1,0,1,1,0,4,0,0,3,0,0,0,0,1,1,2,5,1,1,2,0,5,3,0,1,0,0,3,10,9,6,8,0,0,1,1,1,1,0,4,0,1,1,0,0,2,1,0,0,0,1,0,1,0,1,2,1,0,0,1,1,1,3,4,2,0,1,0,3,0,0,0,0,3,0,0,0,0,5,2,2,0,1,0,2,1,4,0,1,0,4,0,0,0,0,2,6,0,4,2,1,0,0,1,1,1,0,15,3,1,1,0,1,1,0,2,2,0,0,1,1,1,2,0,3,0,0,1,0,0,1,0,2,1,5,0,3,4,2,0,1,0,17,2,2,10,0,1,2,0,0,1,3,3,3,1,1,2,1,0,0,3,4,13,0,0,0,2,0,1,1,3,1,2,2,1,1,0,1,5,0,0,1,2,4,1,0,1,1,1,0,0,1,0,1,1,3,3,2,1,6,0,1,0,0,0,1,2,3,0,0,1,3,11,0,1,1,1,1,2,3,0,4,0,2,1,1,0,0,0,2,3,1,0,0,0,0,0,0,0,1,3,1,0,3,14,3,18,0,0,6,0,2,2,12,25,0,1,8,1,2,2,1,0,1,1,2
2015-07-31,5,1,2,2,3,0,0,3,2,2,4,0,1,4,1,1,3,3,1,1,0,1,0,3,11,2,13,13,2,6,14,12,9,24,9,1,9,1,1,6,3,1,2,2,0,0,1,7,6,7,1,4,1,0,0,0,0,1,0,1,1,9,3,0,1,9,0,3,5,1,8,0,4,0,2,3,0,0,5,4,2,15,2,5,4,8,1,5,0,5,4,0,1,2,2,4,0,0,1,8,0,6,1,7,0,1,0,4,3,2,1,1,2,2,1,1,3,1,10,1,1,2,1,2,0,1,0,0,1,1,1,0,2,2,0,1,5,9,1,1,0,2,4,1,4,0,1,0,0,0,3,0,1,1,3,3,0,1,3,2,7,5,4,1,3,0,0,0,1,1,2,0,0,6,0,16,0,3,4,0,1,0,1,3,4,1,3,4,2,1,0,1,6,2,2,12,1,1,3,0,0,4,5,6,6,4,4,5,6,3,8,5,5,1,8,0,5,4,3,1,5,2,1,1,1,5,3,1,0,2,3,5,7,1,1,2,2,0,1,0,3,3,0,8,1,0,9,0,0,2,1,9,2,9,0,2,2,0,0,1,16,1,2,1,5,2,6,1,0,0,3,2,1,2,8,9,4,2,2,1,1,0,4,0,1,1,0,1,1,1,2,0,0,0,6,0,0,1,3,3,5,17,0,0,3,1,1,8,14,3,3,6,4,7,6,5,5,1,3,3
2015-08-31,5,0,1,1,1,0,4,3,0,3,0,0,1,1,0,0,0,1,0,0,0,3,1,2,2,0,2,9,1,1,3,2,4,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,2,6,0,0,0,0,1,3,0,0,0,5,0,1,0,0,3,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,3,1,0,0,0,0,1,1,0,0,2,2,0,0,3,0,2,0,1,0,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,4,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,3,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,3,0,0,1,0,1,0,1,1,0,5,1,0,1,0,0,0,1,0,0,0,0,0,7,1,1,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,6,5,5,0,0,0,0,1,0,4,3,0,1,1,1,0,0,0,0,0,1,0
2015-09-30,27,11,2,3,8,0,9,10,11,1,2,0,12,3,2,1,3,1,1,1,2,2,6,1,9,6,15,7,7,20,11,7,5,15,11,4,9,2,0,7,3,7,1,1,1,1,0,2,2,5,0,2,1,4,2,1,4,5,1,4,2,1,2,0,3,1,3,1,1,1,5,0,1,3,3,4,0,0,0,0,0,1,5,1,0,1,3,7,4,1,1,0,0,0,2,1,1,0,2,0,2,0,3,0,9,0,0,3,5,2,4,0,2,2,0,3,2,2,0,1,5,4,0,0,8,1,1,4,1,2,0,0,1,1,0,1,1,0,0,1,0,0,1,5,3,2,1,2,0,0,2,1,0,3,8,7,1,0,4,1,8,4,14,1,3,1,0,2,0,0,1,0,4,1,2,2,1,9,6,3,7,0,0,2,1,1,0,2,0,5,0,3,1,1,1,3,2,2,1,2,0,5,12,0,0,2,1,3,1,0,1,3,2,0,1,1,3,5,3,2,4,2,1,1,4,7,2,8,1,1,4,5,1,0,2,1,2,4,0,0,1,0,3,0,2,3,5,5,2,6,3,3,0,6,0,8,0,2,4,5,2,0,1,2,0,3,0,0,0,2,0,2,4,0,3,0,2,3,4,7,1,0,1,0,4,1,0,0,2,0,1,0,0,0,1,2,0,2,13,3,23,23,9,4,3,4,6,7,30,5,8,5,3,2,2,4,10,1,5,15
2015-10-31,0,1,1,0,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,2,16,12,5,3,4,4,1,0,2,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,1,1,1,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,4,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,1,4,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,4,0,3,0,0,1,1,0,3,1,2,0,2,0,0,0,4,0,0,1,0,0,3,2,1,0,6,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,2,9,2,4,0,0,2,2,2,0,3,1,2,9,1,0,1,1,0,0,0,1,0
2015-11-30,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,2,0,0,3,2,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,1,0,0,1,0,0,0,1,2,1,3,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,0,1,0,6,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,3,0,1,0,1,1,0,0,0,2,1,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2015-12-31,17,11,2,3,8,0,3,5,3,8,1,0,4,6,10,0,5,2,4,4,2,3,1,6,22,14,9,4,24,28,13,9,4,18,34,21,15,2,3,1,7,5,5,6,5,7,10,9,4,4,5,1,3,7,1,0,3,1,9,3,2,0,0,4,6,1,5,4,3,3,2,3,3,0,4,4,1,1,2,1,5,5,7,1,3,3,3,0,1,5,4,1,1,0,9,4,1,0,2,4,2,6,2,3,1,2,2,4,1,1,4,2,3,13,3,3,3,1,3,3,4,9,5,3,7,1,6,6,1,5,2,6,12,9,0,4,6,3,5,6,1,0,5,4,1,1,1,9,3,3,0,0,0,0,1,8,3,1,1,2,11,18,4,2,0,2,9,2,1,0,3,1,2,3,1,2,1,4,1,0,10,0,5,4,3,5,1,2,3,1,4,4,5,4,2,4,1,5,5,3,0,4,1,4,2,2,4,3,3,1,0,2,3,2,3,2,6,7,9,10,2,2,3,14,1,2,6,6,7,3,8,3,4,5,2,1,1,12,2,1,4,0,2,2,5,5,10,1,0,3,2,3,0,2,0,1,2,0,2,0,0,1,2,4,3,9,11,6,1,4,3,0,3,1,2,7,1,2,6,10,0,3,1,0,8,0,0,0,11,2,1,1,10,1,2,1,3,5,14,20,19,22,2,13,4,8,1,4,24,3,3,12,4,2,8,6,14,1,1,12
2016-01-31,2,3,0,2,5,0,11,1,1,0,10,0,1,0,8,0,1,1,0,1,7,3,0,3,6,3,6,12,11,3,2,1,2,5,2,7,2,1,1,0,1,5,0,2,0,0,2,5,0,0,9,1,12,1,1,1,1,1,0,1,0,0,1,0,1,0,0,2,2,4,4,0,2,0,1,2,0,0,3,2,5,10,2,0,0,1,3,2,4,2,1,0,0,1,1,0,1,0,1,0,1,2,1,4,2,1,0,1,3,1,2,3,3,0,1,1,0,0,3,1,1,1,0,1,0,0,0,2,1,0,1,1,1,0,0,0,2,1,1,1,0,2,6,5,1,1,0,0,1,2,3,1,3,1,3,1,1,2,1,2,8,2,10,2,0,1,0,0,0,0,3,0,16,1,1,0,0,2,2,5,1,1,2,2,3,1,3,4,4,0,2,4,1,1,1,2,2,3,3,1,0,0,2,1,0,1,0,2,2,1,1,2,3,6,4,2,4,1,4,2,2,0,2,1,0,4,2,1,6,1,2,1,1,1,0,0,0,3,0,2,2,0,5,2,1,1,4,2,0,2,1,3,2,6,3,4,4,0,3,8,0,0,1,0,0,0,1,3,0,2,1,2,1,1,2,15,6,4,3,5,3,2,3,3,3,3,0,11,0,1,0,0,2,0,0,5,2,1,16,3,10,6,1,2,0,7,1,19,15,3,2,8,0,9,2,2,3,6,3,10
2016-02-29,0,2,6,1,1,0,0,1,0,0,7,0,5,2,1,0,0,0,3,0,0,0,0,4,1,0,6,4,0,4,2,6,8,1,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,3,2,0,1,0,3,3,3,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,2,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,5,1,2,1,2,2,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,4,0,0,1,1,1,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,3,0,3,2,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0,5,0,3,2,0,0,0,0,1,0,1,0,2,2,1,0,0,0,0,0,0,0,2,1,2,7,2,0,1,2,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,10,0,5,3,1,1,1,1,0,1,5,0,1,0,1,1,2,0,2,0,2,0
2016-03-31,6,8,0,7,2,0,16,8,7,4,3,0,7,5,1,0,0,10,0,0,0,6,1,1,20,24,12,17,24,13,5,6,4,9,29,5,22,0,0,1,0,2,5,1,1,1,0,0,0,0,2,4,3,4,1,4,2,1,0,1,1,0,1,2,1,0,0,1,7,6,3,0,2,1,3,4,0,0,2,3,1,2,3,1,0,2,8,5,9,3,1,1,2,1,5,1,2,0,3,1,2,1,0,3,3,3,0,2,0,1,0,1,3,4,1,2,1,2,1,1,2,2,2,0,2,2,1,0,4,1,0,12,2,1,0,0,4,1,2,2,8,2,2,0,3,2,7,2,1,1,1,3,1,2,2,2,0,1,0,0,5,3,1,0,2,2,2,2,5,0,0,0,0,4,0,1,1,2,1,1,3,0,1,0,10,3,1,4,1,2,3,2,3,1,0,7,2,0,1,3,1,5,1,7,0,3,8,1,1,5,0,2,0,0,8,1,5,1,4,3,2,0,1,3,2,4,0,11,9,11,5,4,0,2,2,1,3,2,5,3,4,0,3,2,1,18,2,3,0,5,6,6,0,2,4,2,5,4,10,7,4,0,16,9,6,4,6,1,0,1,2,2,2,0,3,2,0,3,0,2,1,1,1,1,0,2,0,2,0,2,0,3,0,0,1,1,0,6,8,8,10,0,4,4,5,12,4,4,12,1,10,10,18,1,8,3,4,2,5,2
2016-04-30,2,1,0,0,1,0,0,12,3,1,0,0,0,2,1,4,1,7,1,1,4,0,4,0,10,3,26,2,6,6,11,3,10,4,16,13,6,0,1,1,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,3,0,3,0,1,0,5,1,0,0,0,0,0,2,0,3,2,8,2,11,1,2,0,0,0,2,2,0,1,0,0,0,3,1,0,0,2,0,0,0,0,2,1,0,0,0,1,1,0,0,0,3,0,0,0,5,0,0,0,0,2,0,0,0,0,2,0,2,1,4,1,1,0,0,8,1,0,1,1,2,2,0,0,0,4,2,1,2,1,0,2,0,1,4,2,1,0,0,6,0,0,1,1,0,0,0,0,0,0,0,1,2,2,1,0,3,1,0,0,0,0,1,2,0,5,3,0,0,2,1,1,3,0,20,0,1,0,1,0,0,2,10,2,0,0,0,1,10,5,3,1,1,0,0,1,11,4,1,0,0,0,1,1,0,0,7,0,3,2,2,1,0,1,0,3,1,0,1,2,0,3,0,0,3,3,1,0,1,4,2,1,3,0,0,2,0,0,0,0,1,2,0,2,1,1,7,0,1,1,6,0,0,0,6,2,0,0,0,0,2,0,0,0,3,0,3,1,0,1,1,0,1,3,1,2,3,2,9,2,21,0,6,1,8,0,4,30,0,3,2,1,0,1,0,1,0,0,0
2016-05-31,0,1,0,0,0,0,2,4,1,0,1,0,0,4,1,1,0,0,0,0,1,1,1,1,5,8,5,6,1,0,0,2,1,2,1,6,0,2,2,1,0,0,0,1,1,0,2,0,1,1,5,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,3,1,3,0,0,0,0,3,4,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,2,1,0,2,1,0,2,1,0,8,4,0,0,0,0,1,0,0,2,0,0,2,0,0,1,0,0,0,0,1,2,2,0,0,0,0,1,2,1,0,1,2,2,0,3,0,2,0,1,3,2,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,2,0,1,9,1,1,0,1,2,0,0,0,1,0,3,1,5,0,0,1,2,1,2,1,0,0,0,0,2,2,0,1,0,0,0,1,1,0,0,2,1,0,0,0,4,0,0,0,1,1,2,2,0,0,0,0,0,0,1,3,2,0,0,4,0,0,3,0,0,0,1,1,3,0,2,12,1,1,1,0,1,1,7,1,1,0,1,5,4,2,1,1,1,2,0,2,2,1,0,1,0,0,1,0,0,0,3,3,3,2,1,1,3,4,0,0,0,1,18,0,4,13,8,0,0,0,6,1,0,4,0,0,0
2016-06-30,0,3,2,1,6,0,0,6,10,2,3,0,1,6,14,0,1,7,2,2,1,6,1,3,5,7,6,22,35,6,16,6,11,16,7,5,16,1,7,1,4,2,2,2,0,3,2,1,0,2,1,6,0,2,0,1,5,0,2,3,0,0,1,0,4,0,0,0,1,6,2,1,6,3,1,1,2,0,4,3,0,6,5,1,0,0,15,3,2,1,1,0,2,2,0,0,4,2,0,1,0,2,1,3,1,0,0,3,0,0,0,5,2,1,5,2,4,3,6,1,1,1,4,0,0,3,1,0,0,4,0,6,1,2,0,1,4,2,2,4,2,1,4,2,3,0,0,0,1,2,1,6,5,2,3,0,3,1,4,1,2,9,4,1,2,2,0,0,0,0,0,2,7,2,1,0,0,4,4,4,4,0,4,0,1,2,2,3,2,2,5,0,3,8,0,18,0,1,2,0,2,4,4,5,6,3,4,3,1,5,3,4,0,14,4,1,7,3,5,0,1,2,1,7,2,2,1,5,2,1,0,7,2,2,3,2,4,2,0,0,1,0,3,4,2,1,2,5,2,1,23,17,1,4,0,2,5,6,7,0,1,6,2,2,0,6,2,2,2,0,3,1,0,11,4,5,1,9,3,3,5,2,2,4,5,0,0,0,4,0,0,3,2,0,1,0,2,10,15,27,10,5,7,12,5,11,5,10,21,4,6,2,2,3,2,2,11,4,4,7
2016-07-31,5,1,0,0,3,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,8,3,0,2,0,0,1,0,0,4,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,2,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,7,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,5,1,0,0,0,0,1,0,1,7,11,1,0,0,0,0,0,1,2,1,1,0
2016-08-31,4,7,1,2,7,0,2,2,9,3,2,0,3,4,4,1,1,0,3,0,4,2,4,9,8,2,20,8,19,8,17,33,11,9,11,12,6,3,2,2,5,0,6,4,4,2,3,3,0,6,2,6,1,4,1,4,1,3,7,4,0,0,0,1,1,0,6,0,10,0,5,1,6,2,0,6,4,0,4,3,4,1,3,7,3,1,3,7,9,9,3,4,3,8,16,2,5,0,0,2,2,6,1,4,1,9,9,2,5,2,2,6,1,10,3,3,3,2,3,1,1,5,0,4,3,8,2,2,7,2,2,13,1,0,2,2,6,1,3,2,2,0,3,2,3,1,6,12,1,1,1,4,5,4,11,3,1,2,5,3,17,5,5,3,2,2,1,3,2,1,3,1,9,1,5,13,0,5,3,3,4,0,0,0,2,6,4,2,3,1,11,13,1,3,1,5,4,2,10,3,2,0,1,10,3,2,4,8,3,7,6,3,0,0,3,0,3,0,13,2,5,0,1,6,5,4,1,5,9,2,6,1,2,7,1,0,2,7,1,2,1,2,1,4,1,1,20,4,0,5,3,8,5,10,1,8,5,7,6,3,5,12,3,9,14,3,12,1,2,1,3,3,4,2,10,14,8,1,3,1,4,4,0,1,7,2,0,1,0,0,1,3,1,2,6,6,6,3,18,25,16,15,4,10,6,10,2,6,12,4,5,6,2,3,8,1,1,3,0,2
2016-09-30,2,0,0,0,1,0,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,3,2,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,7,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,4,0,3,1,0,3,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,5,3,0,2,0,0,0,1,0,1,4,0,3,1,0,3,0,0,1,0,0,1
2016-10-31,3,3,1,0,0,0,0,3,1,1,0,0,1,4,0,0,2,1,0,0,0,4,1,1,1,3,0,1,2,1,0,4,8,3,1,5,7,0,4,0,0,1,0,1,0,2,0,5,3,0,0,0,0,4,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,1,0,3,0,1,2,1,3,0,0,0,1,1,0,0,3,0,0,0,0,0,1,0,1,1,3,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,4,1,0,0,3,0,1,1,1,1,1,0,4,0,1,7,4,1,0,3,6,1,2,1,0,1,0,0,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,3,1,0,1,2,1,0,0,0,1,1,0,0,1,1,0,3,0,1,4,0,0,1,0,4,0,1,0,3,0,2,0,0,0,0,5,1,0,2,0,0,0,0,2,0,0,3,0,3,2,0,3,1,0,0,1,1,0,1,0,3,0,0,0,1,1,0,1,2,0,0,3,1,0,1,1,0,0,1,1,0,0,6,1,0,0,0,1,0,0,0,0,0,0,3,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,12,4,7,0,0,1,5,3,1,3,13,1,0,3,0,0,3,4,8,0,5,1
